psql:supabase_clean.sql:15359: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(970d1962-9506-43c4-91a1-53fd83cf3224) is not present in table "users".
psql:supabase_clean.sql:15360: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(557c4b8f-1c69-4d5d-8074-6e0beb78052d) is not present in table "users".
psql:supabase_clean.sql:15361: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(f3477c87-ccac-4364-b48b-d099e4fb7f5e) is not present in table "users".
psql:supabase_clean.sql:15362: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(c3605537-a9e0-41df-81e9-c96a6d00b5bd) is not present in table "users".
psql:supabase_clean.sql:15363: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(ae2794a0-8992-4ec0-88fa-8d85ca8b20f7) is not present in table "users".
psql:supabase_clean.sql:15364: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(d15fd47e-ca4f-42e6-8d56-2ec9e6ac7a9f) is not present in table "users".
psql:supabase_clean.sql:15365: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(322be5b7-e144-4ffd-8aae-797c991669d1) is not present in table "users".
psql:supabase_clean.sql:15366: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(6d4c67a9-3f1e-4993-99a9-bd9b8b5b15cc) is not present in table "users".
psql:supabase_clean.sql:15367: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(efaee530-e4db-4e6c-8772-816fbe259d8b) is not present in table "users".
psql:supabase_clean.sql:15368: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(398210c5-9d28-4fdc-b4cf-37a60a1793d9) is not present in table "users".
psql:supabase_clean.sql:15369: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(f6eaa993-215f-4d83-a594-b83e7afbf7e6) is not present in table "users".
psql:supabase_clean.sql:15370: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(71e672ad-519f-41eb-b567-4e5a19a61d9c) is not present in table "users".
psql:supabase_clean.sql:15371: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(5d8ef9f5-1b10-45e3-81c9-81dd0f092724) is not present in table "users".
psql:supabase_clean.sql:15372: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(f2f4fd37-73f6-4581-9e44-c7afcf3f04ed) is not present in table "users".
psql:supabase_clean.sql:15373: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(afc3655a-42e6-4783-8753-224ef80edd5a) is not present in table "users".
psql:supabase_clean.sql:15374: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(858ef0ee-16ad-4245-9080-76d3c0d91031) is not present in table "users".
psql:supabase_clean.sql:15375: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(3c9b6afd-6fb3-4f08-8dc0-b6fdbbb5ff33) is not present in table "users".
psql:supabase_clean.sql:15376: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(cf6a8f86-197b-4976-9eba-30be38103718) is not present in table "users".
psql:supabase_clean.sql:15377: ERROR:  insert or update on table "identities" violates foreign key constraint "identities_user_id_fkey"
描述:  Key (user_id)=(2933e7e7-490d-4316-9514-7b7c56e146ff) is not present in table "users".
psql:supabase_clean.sql:15390: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(5ba756c7-b65e-4482-98c6-59141d7f1933) is not present in table "sessions".
psql:supabase_clean.sql:15391: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(262ff886-0876-43ca-9ac8-cb7987b4e7c3) is not present in table "sessions".
psql:supabase_clean.sql:15392: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(e9861bbb-46bf-48bb-a7f3-767222c8ff57) is not present in table "sessions".
psql:supabase_clean.sql:15393: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(fb6172de-eeb7-45b4-8436-7e6914a7524a) is not present in table "sessions".
psql:supabase_clean.sql:15394: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(d1481989-2656-4224-b6c9-855fd6b5b758) is not present in table "sessions".
psql:supabase_clean.sql:15395: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(40f97d0e-995d-4723-8ae9-ee8111ebae37) is not present in table "sessions".
psql:supabase_clean.sql:15396: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(45a108e8-f804-4557-b68e-b8488028063e) is not present in table "sessions".
psql:supabase_clean.sql:15397: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(774c13f7-dc06-44e1-b848-b1fa2aef4bec) is not present in table "sessions".
psql:supabase_clean.sql:15398: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(60250f67-bc11-4163-8f4e-761ff376d902) is not present in table "sessions".
psql:supabase_clean.sql:15399: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(bf42598e-54c6-41a1-bc16-c8f7a1f56d21) is not present in table "sessions".
psql:supabase_clean.sql:15400: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(6a53f984-36bb-45fd-a9ad-09e22baf7007) is not present in table "sessions".
psql:supabase_clean.sql:15401: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(7b8530bb-30bd-4f2c-ae08-0cc8ac7081c0) is not present in table "sessions".
psql:supabase_clean.sql:15402: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(c54342d5-ff13-4b8e-9dab-599a53025d06) is not present in table "sessions".
psql:supabase_clean.sql:15403: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(72ec35aa-6d62-4d9c-85fd-b4c7929851df) is not present in table "sessions".
psql:supabase_clean.sql:15404: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(97914050-f148-44b8-95b0-030fecbb31ea) is not present in table "sessions".
psql:supabase_clean.sql:15405: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(7683fbf6-69d0-4c8a-8ed7-c916aedb494a) is not present in table "sessions".
psql:supabase_clean.sql:15406: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(13475ad1-fa40-4485-9960-91892c498859) is not present in table "sessions".
psql:supabase_clean.sql:15407: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(16a52e73-ba72-4bf4-9a10-9111293dfcaf) is not present in table "sessions".
psql:supabase_clean.sql:15408: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(3abe0e90-c3f7-4cf4-b143-3da9a2aea065) is not present in table "sessions".
psql:supabase_clean.sql:15409: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(b22d54e3-1e98-4ea4-94f9-0b6d998ae45a) is not present in table "sessions".
psql:supabase_clean.sql:15410: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(3cd134de-3757-47b7-9267-c0360cf48bb5) is not present in table "sessions".
psql:supabase_clean.sql:15411: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(853534d9-ef96-478e-a751-6b8ece760130) is not present in table "sessions".
psql:supabase_clean.sql:15412: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(822267d5-aaae-479a-9690-f775f46f5fd6) is not present in table "sessions".
psql:supabase_clean.sql:15413: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(b13d8172-8efe-48db-9dab-0177283c86b5) is not present in table "sessions".
psql:supabase_clean.sql:15414: ERROR:  insert or update on table "mfa_amr_claims" violates foreign key constraint "mfa_amr_claims_session_id_fkey"
描述:  Key (session_id)=(2acf829a-2b35-47f2-a3ba-e73e0fb189d2) is not present in table "sessions".
